hour,light
10,900
14,2400
17,2000
10,3000
11,4000
14,2000
20,400
10,4000
14,7000
20,700
4,200
13,2000
20,900
6,300
16,6000
21,100
1,10
11,7000
20,900
2,10
12,7000
22,20
1,2
11,3000
18,2000
22,100
9,3000
11,4000
14,8000
20,400
11,2000
14,3300
17,2000
10,2000
11,4000
14,1000
20,400
10,4000
14,7000
3,0
3,10
3,100
4,100
4,110
5,100
6,100
6,170
6,140
7,200
7,400
8,200
8,400
8,900
9,1000
9,2000
9,3000
9,500
9,600
10,1100
10,2000
10,5000
10,6000
10,5500
10,5400
10,2300
10,1010
11,1000
11,1400
11,2000
11,3000
11,4000
11,5000
11,6000
11,7000
12,1000
12,1400
12,2000
12,3000
12,4000
12,5000
12,6000
12,7000
12,8000
13,1400
13,2400
13,3500
13,4000
13,5400
13,6300
13,7200
13,9000
14,1400
14,2400
14,3500
14,4000
14,5400
14,6300
14,7200
14,2000
15,1400
15,2400
15,3500
15,4000
15,5400
15,6300
15,5000
16,1400
16,2500
16,3500
16,4000
16,5500
16,6300
16,7300
16,4000
17,2400
17,2500
17,3500
17,1900
17,2000
17,3100
17,3400
17,4000
17,1000
16,6000
16,7000
16,1600
16,4100
16,7000
18,4000
18,1000
18,2000
19,300
19,800
19,200
19,800
20,700
20,1000
20,900
18,2000
18,1300
18,3400
18,4000
18,2100
18,1600
18,3000
18,2000
